[DEBUG] 2018-02-17 17:46:20.268 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@15983dec
[DEBUG] 2018-02-17 17:46:20.268 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@15983dec
[DEBUG] 2018-02-17 17:46:20.270 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@72e65880
[DEBUG] 2018-02-17 17:46:20.270 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@72e65880
[DEBUG] 2018-02-17 17:46:20.273 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1f59ec88
[DEBUG] 2018-02-17 17:46:20.273 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@1f59ec88
[DEBUG] 2018-02-17 17:46:20.273 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1f59ec88
[DEBUG] 2018-02-17 17:46:20.273 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1f59ec88
[DEBUG] 2018-02-17 17:46:20.276 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@28f7eb06
[DEBUG] 2018-02-17 17:46:20.276 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@28f7eb06
[DEBUG] 2018-02-17 17:46:20.277 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@28f7eb06
[DEBUG] 2018-02-17 17:46:20.277 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@28f7eb06
[DEBUG] 2018-02-17 17:46:20.303 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@7a6341b9
[DEBUG] 2018-02-17 17:46:20.303 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@7a6341b9
[DEBUG] 2018-02-17 17:46:20.303 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7a6341b9
[DEBUG] 2018-02-17 17:46:20.303 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@7a6341b9
[DEBUG] 2018-02-17 17:46:20.307 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@530826ba
[DEBUG] 2018-02-17 17:46:20.307 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@530826ba
[DEBUG] 2018-02-17 17:46:20.307 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@530826ba
[DEBUG] 2018-02-17 17:46:20.307 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@530826ba
[DEBUG] 2018-02-17 17:46:20.311 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4f0bef0f
[DEBUG] 2018-02-17 17:46:20.311 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4f0bef0f
[DEBUG] 2018-02-17 17:46:20.312 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4f0bef0f
[DEBUG] 2018-02-17 17:46:20.312 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4f0bef0f
[DEBUG] 2018-02-17 17:46:20.315 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5da5d557
[DEBUG] 2018-02-17 17:46:20.315 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@5da5d557
[DEBUG] 2018-02-17 17:46:20.315 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5da5d557
[DEBUG] 2018-02-17 17:46:20.315 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@5da5d557
[DEBUG] 2018-02-17 17:46:20.317 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47fab75a
[DEBUG] 2018-02-17 17:46:20.317 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47fab75a
[DEBUG] 2018-02-17 17:46:20.318 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47fab75a
[DEBUG] 2018-02-17 17:46:20.318 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@47fab75a
[DEBUG] 2018-02-17 17:46:20.320 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6cfb18b7
[DEBUG] 2018-02-17 17:46:20.320 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@6cfb18b7
[DEBUG] 2018-02-17 17:46:20.320 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6cfb18b7
[DEBUG] 2018-02-17 17:46:20.320 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@6cfb18b7
